Atmospheric.Condition,Roadway,Person.Type,Drug.Involvement,Race,Gender,Injury.Severity,region,Fatalities.in.crash,Alcohol.Results,agenew1,age_cat
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,\N,Male,Fatal Injury (K),West,1,0.21,62,61+
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),West,1,0,72,61+
Clear,\N,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,24,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,50,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,28,26-30
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0.08,23,16-25
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),West,1,0.21,43,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.12,34,31-40
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,20,16-25
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,84,61+
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,56,51-60
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0.28,53,51-60
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,72,61+
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0.2,55,51-60
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,\N,Female,Fatal Injury (K),West,1,0,80,61+
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,2,0,27,26-30
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Filipino,Female,Fatal Injury (K),West,2,0,42,41-50
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,2,0,93,61+
Rain,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0.17,30,26-30
Blowing Snow,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,63,61+
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,49,41-50
Snow,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,2,0,54,51-60
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,2,0.22,48,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,26,26-30
Rain,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),South,1,0,45,41-50
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0,43,41-50
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,43,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,18,16-25
Rain,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,68,61+
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,24,16-25
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),West,1,0,20,16-25
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,39,31-40
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,2,0,82,61+
Snow,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,24,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.13,18,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,61,61+
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,79,61+
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.22,26,26-30
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0.3,39,31-40
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,2,0.18,41,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,78,61+
Rain,Urban-Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.15,22,16-25
Cloudy,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,57,51-60
Cloudy,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),West,1,0,51,51-60
Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,52,51-60
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),West,1,0,50,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,59,51-60
Rain,Urban-Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,2,0,33,31-40
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,62,61+
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,46,41-50
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,17,16-25
Blowing Snow,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,40,31-40
Rain,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,44,41-50
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0,39,31-40
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0.06,23,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),West,1,0,21,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),Northeast,1,0,82,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,54,51-60
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0,21,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,16,16-25
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),West,1,0,25,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),Northeast,1,0.17,24,16-25
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),South,1,0.06,29,26-30
Rain,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),South,2,0,49,41-50
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,79,61+
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,36,31-40
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,64,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,41,41-50
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,27,26-30
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Yes,Unknown,Male,Fatal Injury (K),West,1,0.09,36,31-40
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,2,0.14,43,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0.24,16,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),Northeast,1,0,29,26-30
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,49,41-50
"Fog, Smog, Smoke",Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,29,26-30
Rain,Urban-Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),South,2,0,52,51-60
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),Northeast,1,0,43,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,75,61+
Cloudy,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,27,26-30
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,46,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,36,31-40
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.01,34,31-40
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,53,51-60
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,57,51-60
Rain,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,1,0.2,28,26-30
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,21,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),Northeast,1,0.18,44,41-50
Snow,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0,53,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,23,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Fatal Injury (K),Northeast,2,0.16,18,16-25
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),Northeast,2,0.15,20,16-25
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,64,61+
Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,35,31-40
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0.28,46,41-50
Snow,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,65,61+
Snow,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0.07,46,41-50
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,25,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),West,1,0.25,40,31-40
Rain,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),South,2,0,54,51-60
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),West,1,0.16,27,26-30
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,32,31-40
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0.11,41,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,62,61+
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),Northeast,1,0,18,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0.11,46,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,2,0,30,26-30
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,2,0,39,31-40
Snow,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,44,41-50
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,49,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,67,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.24,46,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),West,1,0,51,51-60
Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.28,31,31-40
Cloudy,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,24,16-25
Rain,Urban-Unknown Urban,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,2,0,22,16-25
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.25,54,51-60
Snow,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,32,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,49,41-50
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,28,26-30
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,45,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,61,61+
Cloudy,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),Northeast,2,0.02,25,16-25
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,18,16-25
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0.35,23,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,52,51-60
